Rank,Sender Address,Funders Funded,Creators Funded,Total Tokens Launched,SOL Sent,Tokens Created,% of Total Tokens
13139,AzBb8ZFbWpESJWrCELConxqvVGYyMtV4EXXDpYniacE,1,1,3,0.01,3,0.1753%
13140,AzHuVtT9tzuny94tr4sHVpZ3SdoJ5RKmtfqmeeoyKBp3,1,1,3,0.01,3,0.1753%
13141,AzSWWiJwr45U3ATRgPk43L6p4FZUUfw6RRCskixwzbSG,1,1,2,0.01,2,0.1169%
13142,AzmbYb3jnmpQ7w7oYiFPCc9GeohFhbtj3cYP3hyW59Gr,1,1,3,0.01,3,0.1753%
13143,AzoNeFAqGHfk6Sv3ikRXLCrfAvMAJ5kvu98CVKxTpPsP,1,1,3,0.01,3,0.1753%
13144,AzveMoY2LafYmQzNRCYzwgJDEdEfaLWyXnpchaysZ7L5,1,1,3,0.01,3,0.1753%
13145,AzyLFfnTK7WDXwQ98DBiBprLWDraJUN22hhbwpB59hQ5,1,1,3,0.01,3,0.1753%
13146,B1VfZJV6Bccknm52FaLm5BXf5bovhkcnGFQMQiTXyRin,1,1,3,0.01,3,0.1753%
13147,B1aFUZc6tuU5huXYVguCcwTx1J8rikB7y4Nx8x3PDohK,1,1,3,0.01,3,0.1753%
13148,B2BU7JrvKtaXRDsmBvYFkMiUGeFRzoBEU6xfKK7zoJVD,1,1,3,0.01,3,0.1753%
13149,B2VdXdkQa6BEQKZ3x42DECU1dMxpCunSBmHDHic9RJC4,1,1,3,0.01,3,0.1753%
13150,B2ZbbXeZ3r5fgkisRPBgk2baDaRH544rbL8ncWi4tRbj,1,1,3,0.01,3,0.1753%
13151,B3BzVA8iuBUCmXjq7qWQtNyqoSq76qFFW7YqeevjLAbf,1,1,3,0.01,3,0.1753%
13152,B3C5G1EnxLBS4mR8NKA44bqDFheHH6eKzKnSTwTgzkTk,1,1,3,0.01,3,0.1753%
13153,B3RMHhg3baPdnAyvojaopr1Nr1iwZnJKh5rr38hNNL1k,1,1,3,0.01,3,0.1753%
13154,B58e1PixTMfH9dfi3TyaZCL2KNAzrY5wV3onUD6TDziv,1,1,3,0.01,3,0.1753%
13155,B5WcSA2g9c12rU11LPQnuMTE263FXMDUQQSTpqrP4LdH,1,1,3,0.01,3,0.1753%
13156,B62r2aNmRFiV2Ja6pnmF43GDDprUoSJppo8BpSgxRvya,1,1,3,0.01,3,0.1753%
13157,B6mzzmjuj4EvMcPRhgw9oRbyDh9FphGKNrbT1yTu87NT,1,1,3,0.01,3,0.1753%
13158,B6whtz4M7pYRFB6ftxXJTqv7qu7daJE6u94TZQQHL7XB,1,1,3,0.01,3,0.1753%
13159,B7EykAXKp3r1F9XGoEuuGUxxf3SjF4WQjowQkbPSWSj1,1,1,3,0.01,3,0.1753%
13160,B7YGTiZJFiuBzJ73kNfaaCB9McYFVrtmUqruWK6jMw9o,1,1,3,0.01,3,0.1753%
13161,B7YxBU9fde9p8iZkpM57k5xCvMhdopFt64dv4hvhdNRv,1,1,3,0.01,3,0.1753%
13162,B7jseLRWepiMnm8CLbEdjyUQSNE1b57oRCss7ubYRdkt,1,1,3,0.01,3,0.1753%
13163,B8Lp5bgqVWb7UykaVkRfAxTJfpjM8kZP2L8q3wK6ARoM,1,1,3,0.01,3,0.1753%
13164,B8LxT1G28QiX6ZJ8dqsAW3NzNY6zKZgsZNJoR2WkWgHL,1,1,3,0.01,3,0.1753%
13165,B8WBwPN7D6nnkC4DY6h69uHVNWvpHAiaKCR1q2peMJSh,1,1,3,0.01,3,0.1753%
13166,B8dkjdBrSXNfqyUmEcNzk94dtPumE7TMkdaq8c4nwNoH,1,1,3,0.01,3,0.1753%
13167,B965qHdYjQ42wxo7CbAxW6DCntiuNo4TdzWbxq5M6872,1,1,3,0.01,3,0.1753%
13168,B9JybgpbS7U6S1Qp5aoFkTTeJhH7yMhEBaGhS13zJzw2,1,1,3,0.01,3,0.1753%
13169,B9Y1g9UXWdWyh9CYjXPD9o49GX9gYAhZr7bu2rka5xXY,1,1,3,0.01,3,0.1753%
13170,B9meqjUEznMqDyYiSgLtaWRnHij5WgZENFA8F3iwS29R,1,1,3,0.01,3,0.1753%
13171,B9rwj6qvtMrjW5U8rBspyg1yAAZqPdkcs299MvGQnRuu,1,1,3,0.01,3,0.1753%
13172,BABXpMAscmoXFrELREh5qf4pwr9QsPMM4zDsX2Hkk52g,1,1,3,0.01,3,0.1753%
13173,BAhQYwZ9GyQQ6KP2iCaqbTD7ubyMeqvDMyeej3g1Bo6P,1,1,3,0.01,3,0.1753%
13174,BAiaDFFeEVNzXB38ZY8jPVUay14wGmHKemagyzERiS2s,1,1,3,0.01,3,0.1753%
13175,BAxhLxNVvdTkJwYehcjpuAUsbDPSWrhLBhKaaAZWGH6o,1,1,3,0.01,3,0.1753%
13176,BB83epuNL9Ez8JQbKq1hAWUyjchzW2USp1SJgPb9hEXC,1,1,3,0.01,3,0.1753%
13177,BBGnCiH5nVE5tXUVvLgca4B9p2A4v8b4AvdYWsG7G7M7,1,1,3,0.01,3,0.1753%
13178,BBPbzsJnVAfPnKoKJ6gYiYFzJhc4NJiz82gFjcE3pQnR,1,1,3,0.01,3,0.1753%
13179,BCWpTpad9gTik6tzosqKLJkjzhKWpwgNM3ywiU9Zq5dG,1,1,3,0.01,3,0.1753%
13180,BDPY7WTC5JAYnu98uEK9VjTSFsjkQty89Dv185qxLNNS,1,1,3,0.01,3,0.1753%
13181,BDPeM1qVb7pgGdFTqiiogBLnDKxN7S2iUnn3q7y9UVwB,1,1,3,0.01,3,0.1753%
13182,BDmjtUSuarFKH5i8hwqPwccTEftYkBWZVCoSoxxxnSYk,1,1,3,0.01,3,0.1753%
13183,BDqqHxbRJRFNt6z719cCZUrcMK7513U9i4wB4YTJVHY3,1,1,3,0.01,3,0.1753%
13184,BE4sTY16kcAQM41R1ynTD7rJ3fpzvnCuBsKaG5g3RduF,1,1,3,0.01,3,0.1753%
13185,BEHmmDjZqtkV4T2FYnXv2CYzDPyQdjCGTidxBic5cQVz,1,1,3,0.01,3,0.1753%
13186,BERWoQ4AnqnFGtUQTJDXXm3mmTsHFurn2BYaSKfUw2Yi,1,1,3,0.01,3,0.1753%
13187,BEtLFm3EQhJL4Dz8GK8UgeWQkmBPcXgDi7a9tsUaf371,1,1,3,0.01,3,0.1753%
13188,BFeGYWJ3ZpJZmCeQfUoiZdfiYMyHz4QyqycJmx1fSWi4,1,1,3,0.01,3,0.1753%
13189,BFyU3PpNjFa9Vk8TCGpzxa9y4k85fgG45FJ614BqVKvg,1,1,3,0.01,3,0.1753%
13190,BGFhJcEHjaaxkCxCbPGL3zvKnb5L9FdM3EkdTHzEiuMN,1,1,3,0.01,3,0.1753%
13191,BGZ8joACNAurndKCxcy87MnUxmrfhNJE8h5k8qy9nhCz,1,1,3,0.01,3,0.1753%
13192,BGbhMvVKmsz3mRBhYpvASBsoMjiTfjb3R4vHhHgH7yrC,1,1,3,0.01,3,0.1753%
13193,BGoFcNyMazPnkXSJrDRS8QPqZav3yziZrGvpe2oemrTT,1,1,3,0.01,3,0.1753%
13194,BH2aULjeJpj3LoxGMMU6BLQgA5MiuoBinr7kfZUHqqzQ,1,1,3,0.01,3,0.1753%
13195,BHEPyJwNhQVBDLvj9HHQ1Xryn2Ervk6Y9EAtPTwdmyE3,1,1,3,0.01,3,0.1753%
13196,BHHPVu82sfKo3r5pXdDyQrm52S8iXQ3jbuctjbuSr85H,1,1,3,0.01,3,0.1753%
13197,BHL482TDwZMnURXpTNz4MGQ1yyh2PHCJAPd5wLYRWtjT,1,1,3,0.01,3,0.1753%
13198,BKRZ2tNDARBm3NZsYsgM8DkAxPA2RFG7kDSsZDuvvZp1,1,1,3,0.01,3,0.1753%
13199,BKWtV3HLvmhRRTG8Pr8frn7CckrjxTpWawhwgfyZ3Xxq,1,1,3,0.01,3,0.1753%
13200,BLATfQGZg7C9RzvjBoDLjqw85STjrATRkzgLwwi6mQdU,1,1,3,0.01,3,0.1753%
13201,BLS8Anmfyhb9yAu39rMsfKUmkJm3d6Xh5AmcmfCLZwKs,1,1,3,0.01,3,0.1753%
13202,BLcb5vTxy7SPF22FNe9HraNSLy4WotcDmn69arNFed1i,1,1,3,0.01,3,0.1753%
13203,BP3kXAA6ZJDaV9M5rweRYUba5mJ22zrLxWoUDonVCeoY,1,1,3,0.01,3,0.1753%
13204,BPNAmBZChuRDj8BAMADrXW5raSwBVyL72GZLGyEwfcfb,1,1,3,0.01,3,0.1753%
13205,BPe6e61eqpx2m44Xoe8QT8ibA8DDcd1z8aBihHaoRfS3,1,1,3,0.01,3,0.1753%
13206,BQ1W4nXJTStmMviLMgb7GmTZ1ydr4YH7b1JER45bcn17,1,1,3,0.01,3,0.1753%
13207,BQ5hbMJBSjPVAZXXkFHzX9pkwou4NUFYwt51Gx8ka1cc,1,1,3,0.01,3,0.1753%
13208,BQDd7CLRqjC1WTsNgrnrb6AfBjX2yVtScY3PPcjS5cwt,1,1,3,0.01,3,0.1753%
13209,BQn17mbs9ZidxNmeU4VHNApor9Ly54exFwEgyQLQNkTt,1,1,3,0.01,3,0.1753%
13210,BQn6sHXn91uAYJ8oYMVoSeoaBLgEgbLuCfQi8B58vLjv,1,1,3,0.01,3,0.1753%
13211,BSbd3LbBLdcb1nBZ5rn7bEPzd382rSBU8qreKwsdeG72,1,1,3,0.01,3,0.1753%
13212,BSxucRCm8buYW1juU2MMyXcuUS4EaSmHLJkRYBG6AXbR,1,1,3,0.01,3,0.1753%
13213,BSxzuzNsBsmDBPbT6fJ5otRwhHF5Lx4m4mSMtLeVBtse,1,1,2,0.01,2,0.1169%
13214,BUAKf8qUqfiYcM6WmGftLdgS1Jm6kYKSCwdNVg2rRgxA,1,1,3,0.01,3,0.1753%
13215,BWu2Uum9Vjgq7NhGRwGJjb4SrBa189GDzkYeJHrSyiGY,1,1,3,0.01,3,0.1753%
13216,BXGMrdR55WXYkBsi9hboYbdBt3iE1H97nWzEuBKyvrVV,1,1,3,0.01,3,0.1753%
13217,BXJ3imPKkQqVUccEA94iBSrpwXG3L3PF4ofght8kae5i,1,1,3,0.01,3,0.1753%
13218,BXJyuGv2Y8rWdHVa3fHVaJGowznhW3ruxJjDe1T45tmN,1,1,3,0.01,3,0.1753%
13219,BXYCefEs18ZocAGCoTvkfM97XtgX5sJECi9iF5i4WcwS,1,1,3,0.01,3,0.1753%
13220,BXo6DtQSrk1DW9jo4oFyHcvTrTwW5GpN1LEZ1TCpn3W3,1,1,3,0.01,3,0.1753%
13221,BY9gqpt6v9LvuDvYNrB5Mzq2CQpGhQa8ijzP82dxwWzY,1,1,3,0.01,3,0.1753%
13222,BYyctGkv3Q4iNgwBvGArUh5Umi9FsXm4YKCAf9w8E9q1,1,1,3,0.01,3,0.1753%
13223,BZ9qk2BngZ89p3QGEyb3HMNvX3jfnD6GhRvSVUuu6Qwb,1,1,3,0.01,3,0.1753%
13224,BZKjddujVeWNV5xB8tQdZyruo4dXhSfkGqdPLejG7arw,1,1,3,0.01,3,0.1753%
13225,BZkb766Ra1jpQB4yBn7rgEtFex9n2YXvW2a2Prg96Bs9,1,1,3,0.01,3,0.1753%
13226,BZwqMUTCNozpJgqasKHkcArKs6Zw5DDe9Vpaof7D459A,1,1,3,0.01,3,0.1753%
13227,BaPZPrEkRqSJVby7sBNFpokqzeq8qYQqsqTvLVf8WsBc,1,1,3,0.01,3,0.1753%
13228,BaYfeDuVt4FFXq3aDfmn4cndQRTiHzGKELWfWikRSpRe,1,1,3,0.01,3,0.1753%
13229,BaijacNKCMVKHvxQ6CoAu7wSafaWv7rz2iujyiNdGc6z,1,1,3,0.01,3,0.1753%
13230,BbB47mjXx54yCQonbFMU3JhjdeyxLjb3MDL2VVMiF34k,1,1,3,0.01,3,0.1753%
13231,BbaaS8fPwdNjmSJw73wpBL7Q1pqAPPB8p388ZJUv6SbX,1,1,3,0.01,3,0.1753%
13232,BbqqJhJwuRpwMMrwdVUz7STzKqBFDLwFkjv9mtvUY8uV,1,1,3,0.01,3,0.1753%
13233,BcHHeRCC696kgBQ4M1kLe2XW5GhCB6wZPqfrcu89i3sy,1,1,3,0.01,3,0.1753%
13234,BdJJ2sKVam34fptaPezd46LCSw91xLBMHyhc2iBeKZeh,1,1,3,0.01,3,0.1753%
13235,BdWjoDx3XaGiaXE7GZG5qhjbU9Xxry5cdJcusZo4fKT4,1,1,3,0.01,3,0.1753%
13236,BddKDjWuQpeYzPgMPrnDCNNS9nZarnmekMdmYqexxndE,1,1,3,0.01,3,0.1753%
13237,BdgMdvfT9DNLCyWa8G3ueHTopHVgf3W5RfyxBytPUUKh,1,1,3,0.01,3,0.1753%
13238,BdpzDEFqwKWavFtB4dWudxZcATxqQ9QdQbBiG3DuUmbU,1,1,3,0.01,3,0.1753%
13239,BeZUj1wNojexZa7R9767nidwFp93zjxe3FqoHEXuwf9U,1,1,3,0.01,3,0.1753%
13240,BedkEBYx9hitquyy18agaHeWKxoMuSgfWUKdYQ9ESGG,1,1,3,0.01,3,0.1753%
13241,Bf6TmMdhaxyGe5pUd9saw5hd32veSj1Y4Jr1PSnLj5HC,1,1,3,0.01,3,0.1753%
13242,BgXg6R2xDLomh2Sv43222eRN7MURzQ1nTtJ58CjZWe7F,1,1,3,0.01,3,0.1753%
13243,BgaceESWNAyq7btwjcLdCtH9tXHkiJ2mmfdK7wvqCk2e,1,1,3,0.01,3,0.1753%
13244,BhYeZpSS58UyE6QJeqQMY67xNVnTjv8NsmUaoBK5mPmi,1,1,3,0.01,3,0.1753%
13245,BhyBtyhyXFTqu7SvpVnFfSsHbq4jr8PwcTWjR6bfWmwi,1,1,3,0.01,3,0.1753%
13246,Bi95HgtDKbsFWCVRurEAqo5zpDVCZx7QzpNwA7EHArvq,1,1,3,0.01,3,0.1753%
13247,BiCvQH7mfN5azi85WGNfQJxx2NNnRgi3FK9h6FMmtwLN,1,1,3,0.01,3,0.1753%
13248,Biq2DV9kFRw1SbdbXw1VyvFoKNHMCaCF5Wp537bnhUQr,1,1,3,0.01,3,0.1753%
13249,Bj51dxgFwqjzfQRf1jiHapnhxzFPh8oG4QxHJDCHdAPo,1,1,3,0.01,3,0.1753%
13250,Bj6QLyUGbvix2tRGemBjNVN5QZGBAa7JzBfQ79wuX8qg,1,1,3,0.01,3,0.1753%
13251,BjfKW5fLkNdw65zZmFY7knxFW1s7pkfboxE376aT2mY5,1,1,3,0.01,3,0.1753%
13252,BjupGL61SYi7xf86kgqftNkcVWsuNBAmgL6LfWYZKwtC,1,1,3,0.01,3,0.1753%
13253,BjxxVNk3P5GDcjtdqEcCANZ1KBiqP7NTpo5PRMEToLuC,1,1,3,0.01,3,0.1753%
13254,Bk5Z6ZCYYrmo892nsGVMkKVvHVBaGGFApawaoTUwmxaS,1,1,3,0.01,3,0.1753%
13255,BkPUFEeD5PVFPLfYaexMpbBkSbWDZaG4RQgYM8cUqM6v,1,1,3,0.01,3,0.1753%
13256,BkStQYLvQHfyMrXuZZaKfBC41j1Zg8jgHoMc2Ds4RVpp,1,1,3,0.01,3,0.1753%
13257,Bkv5TnWdnBNusgAMv3FrSjEpuFiaSL4vj4SKdm78CVq9,1,1,3,0.01,3,0.1753%
13258,Bmetohw2GvKtJEQ1ffrzoW1jgwhTE37i1EJqJL97VFAW,1,1,3,0.01,3,0.1753%
13259,BmukFfQvkuPafu2ydyFSD6N2e9hiZJsDjJdq3iQCaXjr,1,1,3,0.01,3,0.1753%
13260,Bn1QDF9QMrAm77nBCT3knuEFQp6h4LtuDCJBAZcwGrzv,1,1,3,0.01,3,0.1753%
13261,Bn5LJLArwws3SsQibhVAZUQYYsXb1nYFpLH5xdJYeibx,1,1,3,0.01,3,0.1753%
13262,BnStqFa7gkNxbydWYmzSjypfuk1J89f1YJxUeDsUakwa,1,1,3,0.01,3,0.1753%
13263,BnfTHkn2XjtzgbjfVXh4xw7Bf1H5684jLyV7YALX9MpM,1,1,3,0.01,3,0.1753%
13264,Bo26x79X96vv1xYtjS5QL3BNCK4kCovJdnW1eBnWniSw,1,1,3,0.01,3,0.1753%
13265,BoAvtPdRtYgG4LySzjYEeqCH9125RvUBHLLNfGfVx5Ky,1,1,3,0.01,3,0.1753%
13266,Boqyj5TrPJK3cX2bNKaf5ckhLzaZ2SHPTos8iXtiy6ZC,1,1,3,0.01,3,0.1753%
13267,BovCRHg122Zb7M13vkFZWvsqhPg63Bn4EWdMTdCaTWTX,1,1,3,0.01,3,0.1753%
13268,BpEuY8b4SWvJLF6UX4w1sXyPAL3AMbAEgh1ZD6appWKY,1,1,3,0.01,3,0.1753%
13269,BpFJjHe823JnRJ3oJrxmQ3865gyjrKrr7Skox7KiXAFJ,1,1,3,0.01,3,0.1753%
13270,BqBNkJWHUxgqMyZRCYoWQr6EA5yWrbnK8oBU9ZcqLe7b,1,1,3,0.01,3,0.1753%
13271,BqbEhcvDNGdkkcgPJEw7VEX6b1cMks8VxiHrTys4NAJ7,1,1,3,0.01,3,0.1753%
13272,BqmqL8RSeESP1vFqCwH8xBMkNqmANPdsjdq1iLXaYnsV,1,1,3,0.01,3,0.1753%
13273,BrNouv2BLXGTAgM8Udrwm4Nj3w2rYfTLRg7MgtWiqoNo,1,1,3,0.01,3,0.1753%
13274,BtQxbs4yRCUEV9cuxFiJ7mrmCm4Tw5huxfx81oqqy7Lo,1,1,3,0.01,3,0.1753%
13275,BtpZyQXfsNkjVLdmbDeXmNuLFe1bD8n6tZBzmuruYZ1f,1,1,3,0.01,3,0.1753%
13276,Bttp5L39pqVc9qgdfDEF588Njw1FFU5TkXpxrUmSXQJg,1,1,3,0.01,3,0.1753%
13277,BuAbG5uKoKQi5oDccTauPtTmknYC4wTRmyGm59Z6nXM9,1,1,3,0.01,3,0.1753%
13278,BuX7fpWmQ75UykPJ1fp7SCZHAfQFVvLjWzfY8QuSHQvF,1,1,3,0.01,3,0.1753%
13279,Buk73qZYwVDhDcp8N8S6x3fEnh4KUCtvcH2ZdgicfkUX,1,1,3,0.01,3,0.1753%
13280,BvczP9kze4tTbFxnzZZk2RZMiHj3aBdPrDicwNwemYhG,1,1,3,0.01,3,0.1753%
13281,Bx2Nm72oaf6Gzfu3BGnMUnh7sw6yeWAVLcd6PPj5Q9fG,1,1,3,0.01,3,0.1753%
13282,BxmHMpz5tvVhirxfPozQBtEWacRQebzHvN9onocNXMmf,1,1,3,0.01,3,0.1753%
13283,BxmSDKEgR7NV4jdvJaVnFLcDdsbXdUoQkre6oGJt1rmD,1,1,3,0.01,3,0.1753%
13284,BxsynWQRaAV9vKUZXiN696AuLsvtiaHBsETbB8L8Y9H3,1,1,3,0.01,3,0.1753%
13285,By7v2GHL34pb4eQea7Zk7AtBaxYrc99WwsSkPRgEpdkU,1,1,3,0.01,3,0.1753%
13286,ByHinZSKkP3RQ1hXFJXsY7n6awFdwp7KZ5wNYJqHL17,1,1,3,0.01,3,0.1753%
13287,ByuNpPSD4f3KaeDVsgh7wWZUasptbtQPeJZmnad5DGqT,1,1,3,0.01,3,0.1753%
13288,C1KFefq7ohoXNomJoPKmmPEaKQa9KTGC56aw9Rf48GqD,1,1,3,0.01,3,0.1753%
13289,C1MPah23upodRCMUjk3deCaVeyoY9tH2zwXyWyQMWKLB,1,1,3,0.01,3,0.1753%
13290,C1a8VcE5huQf52uGEhRxvUJgwVT4owfQPCoD6xXgHpjU,1,1,3,0.01,3,0.1753%
13291,C1b7dHooYJ8PENWPUVc7fR8sZRDebfdKMBXfwdrS3JGV,1,1,3,0.01,3,0.1753%
13292,C1ju3mcx9jEJCYhBadondB2juHiy8mRT1dwswNn7CBY3,1,1,3,0.01,3,0.1753%
13293,C2QkgVn6PHvXew19U4Sp5kkkhSJB3WMPtpdKxTzFAuFh,1,1,3,0.01,3,0.1753%
13294,C49u51SwssN5MEGgy5PaXF1tMVpwiJvAZZeNhLTXN8BS,1,1,3,0.01,3,0.1753%
13295,C4K4zQd5xTWcWzMEMwK5Ns7J2apSkyd9g5KrMu4ydzUh,1,1,3,0.01,3,0.1753%
13296,C5R6hnjiArDWhtkDbuAYMyjHv8sQMvqXNELjH5n2X3wm,1,1,3,0.01,3,0.1753%
13297,C6ncTa7ZsnDFWmDg9cHt6qcSw2ihJgEdenjoNwwxHV8k,1,1,3,0.01,3,0.1753%
13298,C8h6wAtagP2bQfBh5NidA6vXaFsAwZB8SZzHgx2u25qe,1,1,3,0.01,3,0.1753%
13299,C8rWBeehcR96CVQNxYB7j3o16i5m4u5ZiqU6p1yoi37T,1,1,3,0.01,3,0.1753%
13300,C9RhYng2md3R5jskQ7k5Hvt7fLT2uW2FswWZ5wvmgury,1,1,3,0.01,3,0.1753%
13301,C9WCZcB8tsmMBQVHPaK7U6oHzuKShsbVTLYiWq14FQQB,1,1,3,0.01,3,0.1753%
13302,C9imnEU8iYXubE5gc4ABaMSUBz1UT7XbBjQXmS97AuwC,1,1,3,0.01,3,0.1753%
13303,CA47N5b7HYqLhepy7w1cyGHs1ojvcuXU87Doz23YxPrP,1,1,3,0.01,3,0.1753%
13304,CAh4jayhuBerihNeQGXXfrZwr1CrPVDaLNBjYz3mzsSi,1,1,3,0.01,3,0.1753%
13305,CAnoVBcTYPBTtsAuJRzhCWSiL4mTGB9s3P37pXNUMAGe,1,1,3,0.01,3,0.1753%
13306,CAvbzKzWBJNLwm9L91xyxmE9zY58dDLarxNJpUVsKBaF,1,1,3,0.01,3,0.1753%
13307,CB4T64RdwHMyVCJrdRVG9u89VcceKAgm7M6bqQbhvDAy,1,1,3,0.01,3,0.1753%
13308,CBrme5MkFCesBEvL2dX481VQzUmYwZoccrndr2Eko2iF,1,1,3,0.01,3,0.1753%
13309,CC93vKBgkUVANBXxP4Mhja6oAKMmnwppCMDP9As7oTuX,1,1,3,0.01,3,0.1753%
13310,CCTnYb9orwgXYCrsQwww8hYikFqyyVrL3FBpPmnioLvp,1,1,3,0.01,3,0.1753%
13311,CChjgGDB1KSXDYmZdBVYH25bxEiMW57j1NPbXnQetTWY,1,1,3,0.01,3,0.1753%
13312,CEoCD3dkmKrnCZ9UPpJfYxMfviT2er4gZLmeQr88taXN,1,1,3,0.01,3,0.1753%
13313,CExiueW4bfXe5sYbeaaF6y2bu9dKYoYTZfotaWvATb6S,1,1,3,0.01,3,0.1753%
13314,CFKULMcd13FreXTQYxrnEcbMa168TdxB8wdumjmX6wfs,1,1,3,0.01,3,0.1753%
13315,CFM4wMnRLiBNDwmP1a3EZcER522U9tNSYpfgAJvzHcZv,1,1,3,0.01,3,0.1753%
13316,CFpi18z6biBvHeoj774tp5cZk8GDop3QUFjQcXNeeSHf,1,1,3,0.01,3,0.1753%
13317,CG2fks6pkTyz3cCJtyLgKw1UwJvoi53CPWdyBj29PjFf,1,1,3,0.01,3,0.1753%
13318,CG7VcaZ3iuy1krE1iZTi1Z8DjVLQsYL9RQrMa5hTqReL,1,1,3,0.01,3,0.1753%
13319,CGBmpjydbxPx96o9PMeP3DWmFDLXHdjGYQBfEu8cwtCg,1,1,3,0.01,3,0.1753%
13320,CJBB778eX6zkq2Wu7eGbdBnLSbf8upyMqfq89kA5Tne3,1,1,3,0.01,3,0.1753%
13321,CJSSCVZNGg5n5duiVpQMDA6P29g6aDDiE6jFt7Sz2fje,1,1,3,0.01,3,0.1753%
13322,CJSqyW6R9aLZDEtX2f8StrpFisB5q3nr1UES6rnBS1Zh,1,1,3,0.01,3,0.1753%
13323,CJVUwi84bmSXCL4Jt3Mjp72zbGgxxCxm56Unz2xv41Q,1,1,3,0.01,3,0.1753%
13324,CJvDpXLMqCjAkrsFXNoqoMhAphDSLzrMkAEUUvUF6aJG,1,1,3,0.01,3,0.1753%
13325,CKErekULqVsqwRXLUJFDXHZPHNJFLjxSAtgr4iyX9Hnq,1,1,3,0.01,3,0.1753%
13326,CKGM5ySU1ubQi8Dzd48ZkVWqtGTLhLuF99WNNnxfnpKf,1,1,3,0.01,3,0.1753%
13327,CKYDfLaJdqj6VVsH8rySnfR5C5jkaoWwZgMcNRYhEW79,1,1,3,0.01,3,0.1753%
13328,CKZLLRnss9S7uExYGMBK6bikB5oyawHt4XnLWk69xoMf,1,1,3,0.01,3,0.1753%
13329,CKaqQ2ZGkFAf4br3wyQF3w7zmYv3tcLU4p8RzH4mpcLk,1,1,3,0.01,3,0.1753%
13330,CLse8h1EL8uDHV19PpCF1DD4Ca393Y338vqGTq56GaKR,1,1,3,0.01,3,0.1753%
13331,CMsgeCwiceL7itxG6FZzCYTtVXNtxEummQXM349fjXas,1,1,3,0.01,3,0.1753%
13332,CMwW6T3fthUVMLMjVB7Y6QGNDT6aCza1jaoV54wCBKxT,1,1,3,0.01,3,0.1753%
13333,CN3fN4uto3WBJKX82rpftNWpRzUNGTxNo5Sh7Rn94K5W,1,1,3,0.01,3,0.1753%
13334,CNHMrpX2yHZFeqNSXK6Vf6bXuKuqURAtp2TybGd5sTjR,1,1,3,0.01,3,0.1753%
13335,CNTSCSHRMgVakHfMW3ya7KBceAmDx3SZkWNrGACYgCT6,1,1,3,0.01,3,0.1753%
13336,CNo666Z8YBLCQ7EyAvs5wFRkWqWkLJzdXsKWZvP8mnyk,1,1,3,0.01,3,0.1753%
13337,CPFyoC6DvV4ibsMi28GLMfomsgN914oQAJ6cVyawKb3o,1,1,3,0.01,3,0.1753%
13338,CPbwZTBTbEfL9FJ9YRmEGZzdYjBz9Ywpz2TSPvHiKV3x,1,1,3,0.01,3,0.1753%
13339,CSiMTiDaKND4faHjshSb3zSLgPWUsshsjTptWqsLSUU,1,1,3,0.01,3,0.1753%
13340,CT5S4GVDr64uSrWZPzGPBNw2qdMZctWTzicUt1H46pMB,1,1,3,0.01,3,0.1753%
13341,CTtbFggWwV4dyQUbZQC5dXXL4JxLfF6cjCkgdq2Bi3et,1,1,3,0.01,3,0.1753%
13342,CTzGV3qWqx1WBbkfkF2rmF4EuMxAgqj1sgz9cUcp54VD,1,1,3,0.01,3,0.1753%
13343,CUTD91KPCUVznhRqak642iDL1Gr7ZP3HVrkQB3qcmsaH,1,1,3,0.01,3,0.1753%
13344,CVBbcnetdciHfYTkrkehzAQjPdjCstQ4ZXRECvEUPnuZ,1,1,3,0.01,3,0.1753%
13345,CVJUJmdkFkmQRm8xb9B7DgDoHgRnSHG4tSDebbeobXUN,1,1,3,0.01,3,0.1753%
13346,CVPxUNgwsYyP6Ga5fKNSA8pUJXVM86mUsAPcVtdcK3vk,1,1,3,0.01,3,0.1753%
13347,CVmPDaTnpkTFmR3ve9s84LmiWFZ3cHErUR8p79MmKyxF,1,1,3,0.01,3,0.1753%
13348,CWZDGLPHuRyB4oGKP8yyjWoEf68TkFfSZqzJJEUgs2Y3,1,1,3,0.01,3,0.1753%
13349,CWqugp8WRk2XpfngcheqKxhttgxHVxXiDzHi4ytFEpf,1,1,3,0.01,3,0.1753%
13350,CWyLbdF1KaPgdMrsHtmz18y79kxsqyoALJghau5fQQuV,1,1,3,0.01,3,0.1753%
13351,CXhdwjNA94HMmgQsAvC3C8N6wyaq8bt8Kghnf4AE9er4,1,1,3,0.01,3,0.1753%
13352,CYqeCGJ22o9T69Z6QuRyGUg5CEKuU2wm7d2msesn7Gn2,1,1,3,0.01,3,0.1753%
13353,CZEvPiCZWRJeV7Hzz5T9Pb1zzJG5pjyefCRkfDvXne6t,1,1,3,0.01,3,0.1753%
13354,CaD4818VymUtQ3DPsXjC5Eq9BNgg1MUhNcRajhaz6eA2,1,1,3,0.01,3,0.1753%
13355,CbuZGkifcFqN3gPUmAfhuJS6mHggvBqnCbwJiDYpYFuk,1,1,3,0.01,3,0.1753%
13356,Cbzas4d9yTQvss9h53crTxcuxbwtVtF3mpSSPYem6LAG,1,1,3,0.01,3,0.1753%
