Rank,Sender Address,Funders Funded,Creators Funded,Total Tokens Launched,SOL Sent,Tokens Created,% of Total Tokens
16478,Ertt6SGortfMC7KevZXzaq4wDs6vTUijyi3eUiHqgw55,1,1,2,0.01,2,0.1169%
16479,EruinBovBubFeQwMwDYp8z3EvgP8SqYzWBqzjYR89tEc,1,1,2,0.01,2,0.1169%
16480,Es2ADBzxp6iVgjyUwBZ3taBpgj1tfoJ58PfYdSfjUfbK,1,1,2,0.01,2,0.1169%
16481,EsSMNynpBZtSCZ21Hdvaq91M3Zm4VZuMH9Wa9hrypoxP,1,1,4,0.01,4,0.2338%
16482,EseSkL2DQFC9G9q9Sh1nA2FtiVCPkYpK9oJG7xWNwEGg,1,1,2,0.01,2,0.1169%
16483,EtMdt5p3PnQLT36xJMojUvtTwUqNwxd1fCU8ezxKsVJi,1,1,4,0.01,4,0.2338%
16484,EuP7A6v542ymprSRV1cqxGsV46vHN285gg9i5oZ6woox,1,1,4,0.01,4,0.2338%
16485,Ev8eABDvhXTa1H95VVM462kebCccqk3t7ohXpVfpTFgr,1,1,2,0.01,2,0.1169%
16486,EvbLiGiqycyJCwA7LXTbDTRsHveViGhqyGbccR8QnhJx,1,1,2,0.01,2,0.1169%
16487,EvhicgVh7oUBBs1ghaib87hEfJ43xBasMZXGsJbj4YaM,1,1,2,0.01,2,0.1169%
16488,EwUnoX7vsVAbmEmiFJqsHeRu4V7pvWctmwiCKwhv4xmq,1,1,2,0.01,2,0.1169%
16489,ExfCqS2phbjecgBLDk2zX2pCmKhjsqAhfMRqdUvsJp5j,1,1,4,0.01,4,0.2338%
16490,EyirqRGNTTqSAT4rmvV5QKRVbhC3hX3MVcsYMWwt68cP,1,1,2,0.01,2,0.1169%
16491,F16CmhjtZVbFxbq3jPSBCpgSiNhG4YfLUSXRYASusAr,1,1,2,0.01,2,0.1169%
16492,F2cPSKQmYonGq6ELARpmGovGqcU7Eg3epzzobmMngagy,1,1,2,0.01,2,0.1169%
16493,F3iPtyXR6r1Hd4PohXWo3FPrZwbcVebjCU17dGGPxwbC,1,1,4,0.01,4,0.2338%
16494,F4UtZsyLWCWdRUGgC9fN3oSvB9KPYZGwBJ8UCi5wNVA7,1,1,2,0.01,2,0.1169%
16495,F51asY5UWaQ5Xvk1YhqbthrfCi12C7C3g2aN9yHYAJEy,1,1,2,0.01,2,0.1169%
16496,F585ieM2hZZhtqxkSEuufQCAmETziqDuCsmCtvRiV1kF,1,1,2,0.01,2,0.1169%
16497,F5Qc4wFMumL6acrMFkPHfktT1MmmD9N8S3kDtJFv2tQc,1,1,2,0.01,2,0.1169%
16498,F5RgcJw43w78m1WjXcHznRWqguAoqb9Lj5croDqH9emw,1,1,2,0.01,2,0.1169%
16499,F5p3swry4pe9HFngjMn7tRxuNTSeGJyNWKa1jV1Ctwh9,1,1,2,0.01,2,0.1169%
16500,F6amnZqyR6PDuNJ31yQbQSRa6nVFAPBwt7WbKpBrJMcN,1,1,2,0.01,2,0.1169%
16501,F7PGX2D3VqYyBy3G1q2hfWd1u2BCTho3Tt11JYhh8Z9F,1,1,2,0.01,2,0.1169%
16502,F8mf3JMnHuqYJQpNyvqnGKvdYe8qzAL8qQk1V7TbR2Fp,1,1,2,0.01,2,0.1169%
16503,F8tgHPFNZdAiRCHr4Ui5ee7uFCfBF1tLG3ht1bn2FPan,1,1,2,0.01,2,0.1169%
16504,FAhyctGYT6Cehtms9R97WPZnivFCybsxHcNG5cnYRDD8,1,1,2,0.01,2,0.1169%
16505,FBH54KCdgXwTohZ65SCBjBjuN3UGnE2zkVqTrS1m2t3R,1,1,2,0.01,2,0.1169%
16506,FBwwtLw7SiDvXSBUcgNA98uEGbQ1z4xBKBPvgAwTqMtT,1,1,4,0.01,4,0.2338%
16507,FC6xcSGU3dk49EJVuzWFQJ9cBWM8yLyoXGHgTYiCxAaV,1,1,2,0.01,2,0.1169%
16508,FCaMueuyPuuX7mPANjB4AhZHAR9FKuenwYrVHEnjNFyi,1,1,2,0.01,2,0.1169%
16509,FDCwtWZewoqhYeQVLrN4xj1eHnNKaihYg5i566kje7UE,1,1,2,0.01,2,0.1169%
16510,FDiV8uFwuvYxmwVNgbJGVT1Qw57EkA3zSmNM8Q1zZsYN,1,1,2,0.01,2,0.1169%
16511,FDkkeDfCT16JQeo9JrWiPkPGnXQZzhJFm3WpPNczd79h,1,1,2,0.01,2,0.1169%
16512,FETYyPCTiBAbhUcdVmws3iA7h4y6hf8xfoHJPXnkqz9T,1,1,2,0.01,2,0.1169%
16513,FEfP9Cfh4ZWNBUa5dpqnqVU4M7m2Z1Tj1jAD2vXdxK81,1,1,2,0.01,2,0.1169%
16514,FEjDkm1n1f5pkZ1GrWrHWjgo44hxekQQSwkdzi9rWbQZ,1,1,2,0.01,2,0.1169%
16515,FEvWymxaF8P687mCEE2e2rqFgshHgv5cnGfnVyR2Dbfk,1,1,4,0.01,4,0.2338%
16516,FEwumWe7CAT9z6dwrQGF1Wa3Xh3rg8SRAYDJi8EqQwyU,1,1,2,0.01,2,0.1169%
16517,FFns748eiqEDsKYyBYwfC17parH9CL3qxu7yDpy2n88M,1,1,2,0.01,2,0.1169%
16518,FGtPPRPpm91152WopnZ6E9u3brvFXhFBKRZWr8CXeQ4T,1,1,2,0.01,2,0.1169%
16519,FHFuiCJBkeURqa6kmabCr3fNYJ9ynkEUkz4BaF49udq8,1,1,2,0.01,2,0.1169%
16520,FJ5EhGtePWtncFQoWzxnQMDnqmoQGYMJsw1rb1QQos8J,1,1,2,0.01,2,0.1169%
16521,FJ6MpfiDCAHjpPnWwVdzGddaAJBPf8iwswLkKHLMJsG2,1,1,2,0.01,2,0.1169%
16522,FJhAYRCaBdWdjVPxndwUwqkqvAfc2HAadDj9wtQQqcss,1,1,4,0.01,4,0.2338%
16523,FJz2Nghty7bURVApAwe8C4Qy69VH8mXWy2a86Di1cDV5,1,1,2,0.01,2,0.1169%
16524,FKW1HLUqvDFWeDpzCKKMKGpE33jZwqNJEz6wrLo62qi,1,1,2,0.01,2,0.1169%
16525,FKX487ZDudZ5PdwKJ3soyUjW84Fga2iJYTVQc64bi5uK,1,1,4,0.01,4,0.2338%
16526,FKu6WbsJ8JaWWrUiW3rW4mhdXzva7ZybEY2sWbREUCQc,1,1,2,0.01,2,0.1169%
16527,FLG2Y1SiWCYPgSrqm5EbB96jdsvxLSFmVoqgqovfdwTK,1,1,2,0.01,2,0.1169%
16528,FLQDStFUFLZn4khYYzpN6XGBgcPzkMntTfU1wQ4LGmwF,1,1,2,0.01,2,0.1169%
16529,FLy6y1oAcQ5GYeoCTYKKsHjdVZ7syXyiJccxZmGYFpmb,1,1,4,0.01,4,0.2338%
16530,FM3LonnPZc3L9eRu8fTPTeun5wBS9ebARgYUoAiWBewK,1,1,2,0.01,2,0.1169%
16531,FNknNtQUFN5P72wYAXpQve9fLgXz7v47Mezem39WnkLm,1,1,2,0.01,2,0.1169%
16532,FNn8WwogU8NCDktNFVmdjNEkmTrAHh5nUhF4z1NqXMrZ,1,1,2,0.01,2,0.1169%
16533,FPf2aEWeu8nkTpUBnVSTYnqmAynsLQgtCSqHGm8cdgaX,1,1,2,0.01,2,0.1169%
16534,FQSkzb9BRYJeZ1iHdyGSCUV8bx3Ny5p88tSadMXueiKC,1,1,4,0.01,4,0.2338%
16535,FQaHPuKpsVoxjws5DGwVNArSZM7Pfcvt2L76PRPq9NMm,1,1,2,0.01,2,0.1169%
16536,FQapEJuamde6XbZY1CnVnvhSrFVLnrFYcVYT6pAcHwej,1,1,2,0.01,2,0.1169%
16537,FRFProhjTRMuUpxgKHPrV6uAtSzYHAk4U7y4VfB7Uu2Z,1,1,2,0.01,2,0.1169%
16538,FSeAVnS312cf4WLspJvUgZ7P5mJxp3UsZtSo7nwdV3NM,1,1,2,0.01,2,0.1169%
16539,FTYfxqXhzVw7b5RXrD9HT92jT5BGVt2McWiLZSBvmXya,1,1,2,0.01,2,0.1169%
16540,FTyRZymUGLxeTj79uJDai7zVZmCxper9da9mQZFLgTwG,1,1,2,0.01,2,0.1169%
