mint,rug_indicator,risk_level,Risk Score %,Peak MC,Current MC,Peak Price,Current Price,events_parsed,created_at,analyzed_at,migration_tx,pool_address
591ndTxgES5QY2V7QVGMkoVEKGdhDKLDoDSAVBN9pump,,MEDIUM,46.5,69253.73,4548.0,6.925e-05,4.57e-06,1397,2026-01-19 00:57:33,1768784253.725395,2JhdPZkm9ZterypUwdFsKNEKDgazkpooVPLCdDBN58CaL5niSSBW1pEvWL6mpukDdeid48eBXiNHKVsxnZ8ucREP,FtjCdNmETgaghrQsT7wKPeirEqWyqt9eqVxPin618pCd
44RbDMmrXaZfMKCSsK4hMaDyzzcX4hnUUKrRpvF3pump,,MEDIUM,61.7,69057.0,2517.0,6.905e-05,2.52e-06,1331,2026-01-17 03:27:12,1768620432.9928582,4bqFCQMNTasKjUskQwqfuot1E9i3XvZxGo1kDy7PdEfauojWVgUGv7An33xeyfHRzSmPm5Pjev8zV4NbDDe8ziyc,GxweLtnK5pJZuq96BooKudspoLtXuN1QhwoTBb2KGE6H
ARJEX58aZuHTudPphhi7Mbu7XkoLDQcrtwByiEUspump,,MEDIUM,50.7,66931.32,13413.0,6.693e-05,1.341e-05,1326,2026-01-19 02:15:47,1768788947.1861608,LxJ3i9uTEx88voPfukhnGSjReNFRQ8LiergTguFPkPr2dKjYeZVV4cfit8jNMiPCVgCuamxo77zVtBMqMWgmdGT,7xDxhXRbugsQ3iitVrTYBPtA1aPvwXHVzbDNt5UJsUFE
9WXmXxDFc9LgjgyussZ7rgn4uWyzXTbwZffACS2Spump,,MEDIUM,55.7,66789.0,3035.0,6.678e-05,3.04e-06,840,2026-01-17 03:15:07,1768619707.9627268,2EN71RYxVeaadAnN1mNux4wb5hxypLFK3viULcQh2ZBbzdMQSaM32FZHeFSQtPKHBSncm4mngVWLAyHhKVNLEMXT,CjxPsGz5FcPGeJ5Cega3PxYyBJVPpvPgZwbHvhpVfe19
DPENzFndtAPD6tcoWBs3H1DzgzFH4W7SaeuxtSmVpump,quick_peak_low_mc,MEDIUM,40.6,65809.7,4551.8,6.581e-05,4.55e-06,1419,2026-01-16 17:38:53,1768585133.954997,3W7Jn5EkkiUEqrqZ26HQNa7AjwjtWYoA2dSo9HgQEaDDD4RHpGTbTS1U3gt87DhmVnuThEaS1a4KrgzQ4EF7Uy1P,C1E476QZwrL89VKcop7ToNSFqmXunnDibg4Aa1Asqgje
6K1BsUnDe1NTRL4i1DDkVXcYnnWmUqvdt2YDuEfkpump,,MEDIUM,69.8,65151.0,2666.0,6.515e-05,2.67e-06,987,2026-01-19 02:24:13,1768789453.5497952,4AModAoDKAfxvkSmUmh2jVTjd59FL2wQPR1qx9UmNjk7w5oWWU2Ymh4wcDVdwvJZGpE6GYPsWGwWxqGGAN9WgR9k,9xbPkY2KZzKRUFjc5Vaku9hAFKm2GD5mnbZyoiYgksDu
GVUo5r1R2sShmAP6bnmLJnKrQRkAArCcFfDDvdotpump,quick_peak_low_mc,MEDIUM,55.8,64504.89,2396.0,6.45e-05,2.4e-06,22,2026-01-18 00:18:32,1768695512.352737,5B8tiquutjHNVNtP6MpUyY3raAFGJREHnhDULC6KKvhdN9fUbLRyoF6Uz8BjsebybC2LwEMs51st96bnpGhGdUG7,DBrV9WGK1WXLBsjHjWWgT4fi1yyGESsPXQotNYZ6YvDA
ASybYDhpvAgw5aRbfu8CiY7cGSENE2o3o9hCQBPN8moW,quick_peak_low_mc,MEDIUM,69.4,63603.75,3227.0,6.36e-05,3.23e-06,696,2026-01-16 18:57:32,1768589852.377982,5twkUWjMFWKkfcfCLRqrzc9syuC3TPBtHorLDb9tyGAYTENu6D2S5BuUtZETkNd34w7MxTBCnpPnKqqzFma92tod,H726vcLfi98CcY3LZSftGweRNkXK6qYSRBChrx8siGZJ
7FokXMsy92woWay3TJCZvZzbDv1i4eqJFVn9r9Mgpump,,MEDIUM,55.0,63322.0,2391.0,6.332e-05,2.39e-06,180,2026-01-18 22:24:57,1768775097.109003,3x8FDQoRCg2KX8DQHr5259vZdGT1iubv38VaobMUbQnL6Camv589aiPu2TUZZSadk38J38bs7UQvfSHYfoTbRcoC,4mVxZQDoLkhvTEPaemxwG8extyAGiGa9cBEeVFJVYAGH
5W1NUuRs3PBoyBwqhKzEvxrLH9rear7Lcs471EB2pump,,MEDIUM,41.6,62798.24,2795.0,6.28e-05,2.8e-06,1390,2026-01-18 17:23:41,1768757021.358349,3GEwBQDiBuwKBbmMVf4kzxQhH2vWqRkZERv39E7a9yCZWyz6UHSLxHajTP5aAcav9RzRafXVdHdJdbtxvjAs4odi,AHDyn4NBhQ6QHRFLSjeQFRvAp96BrU5nGhXsgCqBS4b3
GZNDg2rKC53bM8CMwNs1FBDvXUZfshPtftjekzacpump,,LOW,38.5,59124.42,7241.0,5.912e-05,7.26e-06,1475,2026-01-18 04:07:46,1768709266.668608,4LA2xqdQH8SEpHCza3B1vfik9BNX9uzQjAQuUWC6j27aSSYyxTj8VixzePJ5DDo99KDvwnpsHxU8b3MzQ5hnU7xv,2xbDxguNoF8f2pPUarhs6rLhArrwQwgN5tpwLQ4YuzRG
9bHzfHtRexU6jyGySJzj25fTo67rapjABxJRbrgfpump,,LOW,33.9,58570.7,6808.0,5.857e-05,6.81e-06,1359,2026-01-18 16:14:40,1768752880.492513,4DtE9Rbpe4YdRDdwAuH7xfQbQQW4KkXxGS1RBBrsKyS5noXcdtHpdtc2e3gSFqfbyf9kxhZXbAs9KRaaTL9nEcBz,HY7FXoiHRAFS7oWsp75wLxziGhLK351aCtZtxvWWsJyB
DBcfgmwJfH65PZykwVeg9STvLiWUki6ZBUYgQkoHpump,quick_peak_low_mc,MEDIUM,41.8,56161.0,2775.0,5.616e-05,2.78e-06,980,2026-01-17 01:26:26,1768613186.861325,27rUwF5YwJAMzkgk4GoBmUM2mYLn251y2Z1N6WhpWdpeHcyVW6FJmHf1ss6nfU2m5zHUF5bRKqy1zimSTjYorb92,6hBMK4rSBfcWPKHaPtqe1oHr1Drt5bbX9hc8KYdCigkP
DWxk2VaurkbvFGK8cQ15BHf7ene38ngXaMy5K38ipump,quick_peak_low_mc,LOW,33.5,52357.19,3310.0,5.236e-05,3.31e-06,1348,2026-01-16 17:45:15,1768585515.073632,3cKoQpyXbo4hJjkT6464ptEHEKujBSgqeWn3fYRWC1h7kqAHh72AfZmdNi3zKsVkugMfMCDkzcs2ApEoZ29pZHMN,Cr1mBa2wAETuNJYWbyYnJv3fmCUkLNJaGfnB4QNHcEhf
2NBcUF6CieETn6bRJg14yCgF5UH23zMkEEvs4Pkdpump,,MEDIUM,62.9,42996.97,4702.0,4.3e-05,4.7e-06,991,2026-01-19 01:47:54,1768787274.269436,3LSP7deKqBtKj3784k9dVbqnkNuJHjLX4cUbRNfNjWQ6PVy2i7PBCwgSyt1tBWRAwd7XeVkRV8dpQfNUJ8JcZVqm,AFKLPieEmC2Hmu43HYhNdaURRfNkA7cifHjNAwCjQt9D
3tsB9YuYT3ns6f4aWUjmLKGGZHW6Tnsrchn2oFrYpump,,MEDIUM,52.0,40431.3,2697.0,4.043e-05,2.87e-06,1480,2026-01-19 00:46:41,1768783601.844502,4CVjDyoGra2ZAuDdGUmV46fVsUZnUMjDmo5SdFK4WzaYDoWEtW4Jt8pZfmXfhPoJ9zZrJsK3YwzRxW7zm3x7ZJZd,2V7bTzqvriPB2JAQP5M9x7Rs2QvQ22FSqbHpWwkgB7H7
DUfbRD1zDFckaaCgmX7TJm1Dn8WzaDLFjiJSzNkRpump,,LOW,38.9,37005.0,4249.35,3.704e-05,4.25e-06,1408,2026-01-16 18:03:49,1768586629.010156,5uNSiRnJwrd1KgpUPBk3BvpjubqiZp7dLBpSsEdjoCPsyHzy84xQ4QKQhwCZG1DAKudcCVxYyxCXBgB9DPKDadQM,7jXs4WfJfGQvWEbqSyHTuE54RNc7sJMCcFRaHA6qbxtP
CSyHedMESY46tnZciCHFtEBUhYuuWkKW54YvigMHpump,,MEDIUM,56.3,35693.15,8992.0,3.569e-05,9.01e-06,223,2026-01-18 18:02:15,1768759335.063519,643wqP5F8NSGJtxARQ2vMQVJuSFudVMUAFzabj2iUkkuZja4ih8V7S7Hqbh1ssQqGUFeCAJPvTGhgiXFEd9ZyHVs,AHyhfdGFtSXJoFXZHoAnti3yb9JL5WPRR5X4PjUbTonK
8VEZpPx9W3ViwdE2YB8ZR2ZyBHt4eoPu2g24L7gRpump,,MEDIUM,55.0,34695.93,3777.92,3.47e-05,3.78e-06,72,2026-01-16 18:48:41,1768589321.654314,e5oimKJ3nzdYEVNe1pecTUWUTkfQwqSS6qGkFpRWjaD3nPRfYuFQHqx5MzYGEPTrJsvb7DpfPfPioeG1vUoGJrq,BBTGtitwZf8Ri394jgBPRgqQfNDs6Ejub5ANB6P6ws4A
AiEUNiBrz2NpBpm6vvksQhHy2XDp2gSj8Mc4mhUHpump,quick_peak_low_mc,MEDIUM,58.5,32508.55,3511.0,3.251e-05,3.51e-06,15,2026-01-16 22:24:31,1768602271.814893,5wkCv3Lz1j98U1vhNdrUJZM77pEjzeudHUAQCpLZ5PinffLDThRstNc6VtkHCvWqTyDCxaasknF3L7YNwCDkQdQy,66jWqZmR9Azz5rNrmTHkZQNN93xKQ1kA8eVGYmiq7meM
GYdpsjcBujubdwTPs1Rvk7d1GVG3yxuY4ubExCfmdwnh,,MEDIUM,55.9,30226.78,2926.0,3.023e-05,2.93e-06,132,2026-01-18 00:31:21,1768696281.8233669,4N6ge21K2EVZFNZqkpf2bV3vMg5qqHZssYBs4cE8qd5g26BYUxTcRvdH8uFooAprpwouJCbLw1tH65dCJcNji4N,2TphwQHjYpRJH5DowWRdPaV1Sjb8jBSJPFojan4WgPyo
5HuVvCSQPpYVfpE9rsA2F7E9Cnye7Uq2FsdbeMWWpump,quick_peak_low_mc,MEDIUM,60.0,26622.0,510.0,1.869e-05,4.9e-07,200,2026-01-18 01:26:06,1768699566.207398,2GmyvKg2GBPd7onevWAGafTymYdsPcHRWwz425G1oYJirKfKuE3RHdcYjPXRSJ4yY24vjm6AjiqDwtW9UgQ9dU7a,59gang8iTaDxZho3g2hLLTfAZStCYZvTCuEjG4wrkoK8
8M3CJC3QzKbaLcCFmyYZGVVZ5MgPVN9DNQatSLNUpump,,LOW,21.3,14814.05,7430.0,1.481e-05,7.65e-06,611,2026-01-16 17:21:51,1768584111.634006,4CHupMbkdNo3fwsodqdrbWMbwj1m4PFiuTz4UxjcmbfYCYR1ceujAny7CfhYWKayUcqjJGtmyWac4ZR9MfYvA9hz,6D45shzdiBc366ZCXxQg58iM4DZ5R6SVaKCMXd9xsexb
ApWiSQ5PVJ3qMAc6gRPvzi5L91LEweYSVrGPVGNnpump,quick_peak_low_mc,MEDIUM,64.6,13837.0,531.57,9.64e-06,5.3e-07,171,2026-01-17 03:39:21,1768621161.683358,2WTpPmQj543Z6bL19Pv32aZSQ9zyx5iSAaCqbVNpPvVPcBtoUNjzX3EzDVJd5oHE2LwfDagL9SbwuNpFbL4fk9hc,3ceSHAyEvZmPhP2yMTaPzn1WZubZNevrRP6qPahZqoig
h65QDiacTp5xLD7vU3bFkXeJxnVKarGuBM3jatxpump,quick_peak_low_mc,MEDIUM,58.4,11600.0,2878.0,1.159e-05,2.88e-06,1378,2026-01-17 01:49:44,1768614584.9292521,5XzqCqSydtEZsTE4zkAoj9NStqjhWaQpSdrKDwDdqG8hkpii2smLCK1PC9SEjGwriabepqAgP8NXUChbJ67idLjp,Dg87w3sPsL52851zLAqPFGLD7tb2Yxq3XAHztqSBgyQf
9tnZaFUvrsX7k1FjQPM6HaR5HXodcqMknytZdEc6pump,,HIGH,73.8,7287.14,2618.0,7.29e-06,2.62e-06,1469,2026-01-19 01:06:58,1768784818.8843362,4UXERobr5nBcJ9w1bqLShNAPU2BejH1kyCF1gdEb9SDA9K7jJHubeKNDXhTgEJxnQVYg8SF8ZPej1pSX7ZEaGdoB,DVDRN1fqgRrwZMqvBwXTn8YQWSxinnt4qmqkd2dBcSBC
